"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"galM" "1,63E-03" "2,28E-01" "2,81E-01" "1,74E-01" NA "1,37E-01" "1,12E-01" "3,84E-02" "1,20E-01" "1,06E-01" "7,89E-02" "4,72E-02" "4,53E-02" "4,30E-02" "3,31E-02" "8,27E-02" "6,09E-02" "3,86E-02" "5,51E-02" "6,13E-02" "6,04E-02" "5,33E-02" "3,59E-02" "5,50E-02" "4,52E-02" "1,66E-02" "1,82E-02" "2,55E-02" "4,23E-02" "3,02E-02" "4,19E-02"
"glk" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pgm" "3,16E-02" "1,38E-01" NA "8,85E-02" NA "1,08E-01" "1,75E-01" "8,31E-02" "1,14E-01" "7,78E-02" "4,75E-02" "4,28E-02" "2,56E-02" "3,14E-02" "2,05E-02" "8,00E-02" "1,26E-01" "4,59E-02" "9,11E-02" "8,15E-02" "8,53E-02" "9,12E-02" "4,55E-02" "6,20E-02" "4,91E-02" "3,09E-02" "1,88E-02" "5,17E-02" "2,84E-02" "7,32E-02" "3,92E-02"
"pgi" "1,29E-01" "6,80E-01" "4,65E-01" "1,66E-02" NA "3,08E-01" "5,73E-01" "2,25E-01" "3,16E-01" "2,35E-01" "4,70E-01" "4,38E-01" "1,32E-01" "1,57E-01" "1,26E-01" "4,42E-01" "2,10E-01" "4,35E-01" "4,96E-01" "1,90E-01" "2,37E-01" "3,23E-01" "4,54E-01" "5,12E-01" "4,22E-01" "1,75E-01" "1,13E-01" "1,57E-01" "3,09E-01" "2,36E-01" "2,23E-01"
"pfkA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,69E-02"
"pfkB" "3,31E-02" "3,70E-02" "1,28E-01" "1,99E-01" NA "2,17E+00" NA "1,34E-01" "1,78E-01" "1,17E-01" "1,89E-02" "2,90E-02" "3,57E-02" "3,95E-02" "2,91E-02" "2,56E-02" "6,01E-02" "1,06E-01" "1,38E-01" "5,73E-02" "7,06E-02" "1,01E-01" "8,86E-02" "6,92E-02" "7,20E-02" "8,31E-03" "1,98E-02" "9,46E-03" "4,61E-02" "5,55E-02" "4,12E-02"
"fbp" "1,43E-01" "3,44E-01" "3,43E-01" "3,20E-01" NA "2,50E-01" "3,01E-01" NA "1,14E-01" "2,40E-01" "1,56E-01" "2,17E-01" "1,37E-01" "1,46E-01" "1,30E-01" "1,88E-01" "2,12E-01" "1,77E-01" "1,89E-01" "2,60E-01" "2,09E-01" "2,13E-01" "1,54E-01" "2,12E-01" "1,97E-01" "9,91E-02" "1,08E-01" "1,58E-01" "2,02E-01" "1,38E-01" "1,36E-01"
"fbaA" "1,81E+00" "1,25E+00" "2,33E+00" "1,76E+00" NA "1,84E+00" "1,64E+00" "9,02E-01" "1,27E+00" "1,22E+00" "7,64E-01" "9,00E-01" "1,79E+00" "1,89E+00" "1,66E+00" "8,74E-01" "1,06E+00" "1,17E+00" "1,25E+00" "9,90E-01" "9,41E-01" "1,27E+00" "1,30E+00" "1,39E+00" "1,21E+00" "8,74E-01" "9,46E-01" "1,07E+00" "1,97E+00" "9,77E-01" "1,39E+00"
"tpiA" "4,49E-01" "4,23E-01" "1,16E+00" "8,73E-01" NA "7,61E-01" "4,87E-01" "4,27E-01" "7,38E-01" "5,65E-01" "1,02E+00" "1,19E+00" "4,36E-01" "4,70E-01" "3,73E-01" "7,91E-01" "6,43E-01" "4,34E-01" "4,08E-01" "3,35E-01" "3,79E-01" "4,99E-01" "3,81E-01" "4,30E-01" "4,16E-01" "3,33E-02" "2,74E-02" "4,08E-02" "6,31E-02" "3,62E-01" "4,02E-01"
"gapA" "3,37E+00" "4,59E+00" "8,38E+00" "5,26E+00" NA "5,72E+00" "4,68E+00" "3,20E+00" "4,35E+00" "5,27E+00" "4,91E+00" "4,42E+00" "3,23E+00" "3,37E+00" "2,87E+00" "5,06E+00" "3,57E+00" "3,35E+00" "4,99E+00" "2,99E+00" "3,48E+00" "4,00E+00" "3,28E+00" "4,15E+00" "3,49E+00" "1,72E+00" "3,16E+00" "5,25E+00" "7,41E+00" "2,45E+00" "2,97E+00"
