"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"Pyruvate" NA "1,35E-01" "2,58E-01" NA NA NA "2,54E-01" "1,53E-01" "1,13E-01" NA NA NA NA NA NA NA NA "2,70E-01" "4,78E-01" "2,23E-01" "1,91E-01" "2,54E-01" "1,30E-01" "2,59E-01" "2,66E-01" NA NA NA "2,69E-01" "1,28E-01" NA
"b-Hydroxybutanoate" NA "5,79E-02" "4,35E-02" NA NA NA "3,79E-02" "4,63E-02" "3,38E-02" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Methyl sulfate" "1,39E-01" "1,58E-01" "8,89E-02" "1,20E-01" "9,14E-02" "8,65E-02" "2,08E-01" "1,64E-01" "1,55E-01" "1,03E-01" "1,28E-01" "1,37E-01" "1,23E-01" "1,23E-01" "1,59E-01" "1,03E-01" "1,17E-01" "1,62E-01" "9,33E-02" "1,29E-01" "1,86E-01" "1,22E-01" "9,07E-02" "1,83E-01" "1,57E-01" NA NA NA "6,84E-02" "1,02E-01" "1,60E-01"
"Fumarate" "5,63E-02" "5,21E-02" "3,72E-02" NA NA "7,10E-02" "8,69E-02" "6,48E-02" "8,62E-02" NA NA "5,36E-02" "2,36E-02" "5,59E-02" "1,09E-01" NA "4,98E-02" "5,68E-02" "9,34E-02" "6,56E-02" "3,83E-02" "4,18E-02" "3,06E-02" "4,29E-02" "7,60E-02" "1,28E-01" "3,85E-02" "5,08E-02" "8,88E-02" "6,96E-02" "7,02E-02"
"4-Oxopentanoate" "1,19E+00" "1,13E-01" "8,07E-02" "4,70E+00" "8,04E-01" "5,05E+00" "6,45E-02" "6,40E-02" NA "8,30E-01" NA "1,60E+00" "1,87E+00" "1,96E+00" "9,43E-01" "1,38E+00" "5,74E+00" "5,64E-02" "1,99E-01" "5,08E-02" "3,49E-02" "3,32E-02" "2,19E-02" "4,25E-02" "3,54E-02" "6,90E-01" "2,10E+00" "7,20E-01" "8,65E-01" "1,31E-01" "8,94E-01"
"2-Oxopentanoate" NA "4,22E-01" "5,47E-01" NA NA NA "3,10E-01" "2,53E-01" NA NA NA NA NA NA NA NA NA "1,09E-01" "1,29E-01" "5,86E-01" "7,01E-02" "2,96E-01" "9,83E-02" "1,64E-01" "8,59E-02" NA NA NA NA "2,81E-01" NA
"Hexanoate" NA "4,10E-02" "2,79E-02" NA NA NA "8,36E-03" "1,40E-02" NA NA NA NA NA NA "4,30E-03" NA NA NA "2,54E-02" "1,64E-02" NA NA NA NA NA NA NA NA NA NA NA
"Succinate" "1,12E-01" "5,89E-02" "5,49E-02" "1,27E-01" "1,79E-01" "1,08E-01" "6,86E-02" "5,52E-02" "5,39E-02" "8,09E-02" NA "9,10E-02" "8,93E-02" "9,34E-02" "1,17E-01" "7,21E-02" "8,83E-02" "7,83E-02" "6,04E-02" "6,58E-02" "3,98E-02" "5,72E-02" "2,92E-02" "6,81E-02" "6,74E-02" "9,37E-02" "7,05E-02" "4,75E-02" "2,02E-01" NA "6,86E-02"
"2-Hydroxypentanoate" "1,45E-02" "4,96E-01" "4,99E-01" NA NA NA "4,06E-01" "3,58E-01" "5,00E-01" NA "6,44E-01" "7,25E-02" "3,99E-02" "2,41E-02" "1,08E-02" NA NA "5,30E-02" "1,21E-01" "1,00E-01" NA "1,08E-01" "3,11E-02" "5,34E-02" "3,76E-02" NA NA NA "3,41E-01" NA "1,08E-01"
"Benzoate" NA "5,51E-01" "4,06E-01" NA NA "1,98E-02" "3,15E-01" "2,08E-01" "3,23E-01" NA NA "6,39E-02" NA NA NA NA NA "5,27E-02" NA NA NA NA NA NA NA "1,92E-02" "2,12E-02" "2,63E-02" NA NA "6,44E-02"
"Isethionate" NA "1,35E-02" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,08E-02" NA NA NA NA NA NA NA NA NA
